id,name,assoc_names,original_language,authors,genres,tags,cover_image_url,start_year,licensed,original_publisher,english_publisher,complete_original,chapters_original_current,complete_translated,chapter_latest_translated,release_freq,on_reading_lists,reading_list_all_time_rank,rating,rating_votes,recommended_series_ids
6363,Emperor’s Domination,"['Di Ba', 'ED', 'Emperor’s Domination', 'Đế Bá', 'İmparatorun Hükmü', '帝霸']",chinese,"['yan bi xiao sheng', '厌笔萧生']","['action', 'adventure', 'drama', 'harem', 'martial arts', 'mystery', 'xuanhuan']","['adapted to anime', 'adapted to manhua', 'alchemy', 'appearance different from actual age', 'arrogant characters', 'artifacts', 'average-looking protagonist', 'beast companions', 'beautiful female lead', 'black belly', 'bloodlines', 'body tempering', 'buddhism', 'calm protagonist', 'carefree protagonist', 'charismatic protagonist', 'cultivation', 'cunning protagonist', 'dao comprehension', 'death', 'death of loved ones', 'demons', 'determined protagonist', 'eidetic memory', 'empires', 'godly powers', 'gore', 'heavenly tribulation', 'hiding true identity', 'immortals', 'long separations', 'lost civilizations', 'loyal subordinates', 'lucky protagonist', 'maids', 'male protagonist', 'mature protagonist', 'mind control', 'monsters', 'multiple realms', 'overpowered protagonist', 'past plays a big role', 'phoenixes', 'pill concocting', 'playful protagonist', 'polygamy', 'previous life talent', 'protagonist strong from the start', 'quirky characters', 'r*pe victim becomes lover', 'ruthless protagonist', 'saints', 'schemes and conspiracies', 'secretive protagonist', 'sect development', 'sentient objects', 'shameless protagonist', 'spatial manipulation', 'strength-based social hierarchy', 'strong to stronger', 'student-teacher relationship', 'teachers', 'time skip', 'time travel', 'underestimated protagonist', 'unique cultivation technique', 'unique weapons', 'wars', 'world travel', 'world tree']",https://cdn.novelupdates.com/images/2016/09/liqiye.jpg,2014,TRUE,qidian,wuxiaworld,TRUE,7196 chapters,FALSE,c20,604.9,18143,53,3.8,2093,"[3952, 2039, 791, 14, 4214, 631]"
2072,Martial World,"['MW', 'Wuji Tianxia', '武极天下']",chinese,"['cocooned cow', '蚕茧里的牛']","['action', 'adventure', 'fantasy', 'harem', 'mature', 'xuanhuan']","['alchemy', 'appearance changes', 'artifact crafting', 'artifacts', 'battle academy', 'beautiful female lead', 'betrayal', 'bloodlines', 'body tempering', 'calm protagonist', 'character growth', 'confident protagonist', 'cultivation', 'dao comprehension', 'demonic cultivation technique', 'demons', 'determined protagonist', 'devoted love interests', 'dragons', 'elemental magic', 'elves', 'enlightenment', 'evil gods', 'famous protagonist', 'fast cultivation', 'gods', 'handsome male lead', 'hard-working protagonist', 'heavenly tribulation', 'hiding true abilities', 'immortals', 'inheritance', 'inscriptions', 'long separations', 'lucky protagonist', 'magic formations', 'magical space', 'male protagonist', 'marriage', 'mature protagonist', 'monsters', 'multiple realms', 'older love interests', 'phoenixes', 'pill concocting', 'polygamy', 'popular love interests', 'pregnancy', 'protagonist with multiple bodies', 'romantic subplot', 'ruthless protagonist', 's*xual cultivation technique', 'soul power', 'spatial manipulation', 'spear wielder', 'spirit advisor', 'strength-based social hierarchy', 'strong love interests', 'strong to stronger', 'sudden strength gain', 'threesome', 'time manipulation', 'transplanted memories', 'wars', 'weak to strong', 'world travel']",https://cdn.novelupdates.com/images/2018/04/Martial-World.jpg,2012,TRUE,qidian,wuxiaworld,TRUE,2255 chapters,,c100,633.4,17780,55,4.1,1807,"[4010, 14, 195, 5495, 1141, 21237]"
3952,Sovereign of the Three Realms,"['Sanjie Duzun', 'Sole Venerable of the Three Realms', 'SOTR', 'Tam Giới Độc Tôn', '三界獨尊']",chinese,"['li tian', '犁天']","['action', 'adventure', 'fantasy', 'harem', 'mature', 'xuanhuan']","['alchemy', 'appearance different from actual age', 'arrogant characters', 'artifacts', 'battle competition', 'beast companions', 'beautiful female lead', 'bloodlines', 'body tempering', 'calm protagonist', 'confident protagonist', 'cultivation', 'dao companion', 'demons', 'dense protagonist', 'determined protagonist', 'doctors', 'dragons', 'enlightenment', 'handsome male lead', 'immortals', 'kind love interests', 'late romance', 'love interest falls in love first', 'loyal subordinates', 'lucky protagonist', 'magic formations', 'male protagonist', 'monsters', 'multiple realms', 'nobles', 'past plays a big role', 'philosophical', 'pill concocting', 'poisons', 'politics', 'polygamy', 'pregnancy', 'previous life talent', 'revenge', 'romantic subplot', 'royalty', 'ruthless protagonist', 'sharp-tongued characters', 's*aves', 'soul power', 'strength-based social hierarchy', 'transmigration', 'underestimated protagonist', 'wars', 'weak to strong', 'world travel']",https://cdn.novelupdates.com/images/2015/11/Sovereign-of-the-Three-Realms.jpg,2014,TRUE,qidian,wuxiaworld,TRUE,2376 chapters,,c100,425.7,15591,81,3.8,1519,"[6363, 14, 2039, 631, 15, 3617]"
14,Against the Gods,"['ATG', 'Evil God', 'Heaven-Defying Evil God', 'Ni Tian Xie Shen', '逆天邪神']",chinese,"['mars gravity', '火星引力']","['action', 'adventure', 'ecchi', 'fantasy', 'harem', 'martial arts', 'mature', 'xuanhuan']","['adapted to anime', 'adapted to manhua', 'arranged marriage', 'arrogant characters', 'artifacts', 'beautiful female lead', 'bloodlines', 'body tempering', 'cultivation', 'death of loved ones', 'demons', 'devoted love interests', 'dragons', 'enemies become lovers', 'fast cultivation', 'first-time interc**rse', 'handsome male lead', 'heavenly tribulation', 'loli', 'long separations', 'male protagonist', 'marriage', 'master-disciple relationship', 'medical knowledge', 'phoenixes', 'polygamy', 'pregnancy', 'resurrection', 'revenge', 'romantic subplot', 'ruthless protagonist', 'sentient objects', 'shameless protagonist', 'sharp-tongued characters', 'soul power', 'spirits', 'strong love interests', 'student-teacher relationship', 'threesome', 'time travel', 'weak to strong']",https://cdn.novelupdates.com/images/2016/06/1416425191645.jpg,2014,TRUE,zongheng,wuxiaworld,FALSE,2064 chapters,FALSE,c50,500.1,22411,27,3.9,3614,"[10, 2072, 179, 791, 4010, 6363]"
195,The Desolate Era,"['Age of Desolation', 'Mang Huang Ji [Donghua]', 'Mãng Hoang Kỷ', 'Records of Barbarian Ji of the Primeval Era', 'The Legend of Jade Sword [Drama]', 'العصر المقفر', '莽荒纪']",chinese,"['i eat tomatoes', 'wo chi xi hong shi', '我吃西红柿']","['action', 'adventure', 'drama', 'fantasy', 'shounen', 'xianxia']","['academy', 'adapted to anime', 'adapted to drama', 'adapted to manhua', 'adapted to movie', 'artifacts', 'beast companions', 'beautiful female lead', 'betrayal', 'body tempering', 'calm protagonist', 'caring protagonist', 'clones', 'cultivation', 'dao companion', 'dao comprehension', 'death of loved ones', 'determined protagonist', 'devoted love interests', 'eidetic memory', 'fast cultivation', 'handsome male lead', 'hard-working protagonist', 'heavenly tribulation', 'hiding true abilities', 'immortals', 'inheritance', 'long separations', 'magic formations', 'magical space', 'male protagonist', 'multiple realms', 'multiple reincarnated individuals', 'pregnancy', 'protagonist with multiple bodies', 'reincarnated in another world', 'revenge', 'romantic subplot', 'ruthless protagonist', 'soul power', 'sword wielder', 'time skip', 'tragic past', 'underestimated protagonist', 'wars', 'weak to strong', 'world travel']",https://cdn.novelupdates.com/images/2015/06/Cover-Mang-Huang-Ji.jpg,2014,TRUE,qidian,wuxiaworld,TRUE,1450 chapters,,v1c18,234.8,19035,46,4.2,2043,"[5, 38, 15, 35, 404, 791]"
6692,Release that Witch,"['Fang Kai Nage Nuwu', 'Fangkai Nage Nuwu', 'Fàng kāi nàgè nǚwū', 'RTW', 'ปล่อยแม่มดคนนั้นซะ', '放开那个女巫', '마녀 사용설명서']",chinese,"['er mu', '二目']","['action', 'adventure', 'comedy', 'fantasy', 'harem', 'mature', 'mystery', 'seinen', 'slice of life', 'supernatural']","['adapted to manhua', 'army', 'army building', 'beautiful female lead', 'calm protagonist', 'caring protagonist', 'charismatic protagonist', 'clever protagonist', 'crafting', 'demons', 'depictions of cruelty', 'discrimination', 'early romance', 'economics', 'enemies become allies', 'engineer', 'fantasy world', 'firearms', 'hard-working protagonist', 'industrialization', 'kind love interests', 'kingdom building', 'kingdoms', 'knights', 'leadership', 'lost civilizations', 'love interest falls in love first', 'loyal subordinates', 'magic', 'male protagonist', 'management', 'manipulative characters', 'marriage', 'mature protagonist', 'medieval', 'modern knowledge', 'monsters', 'multiple pov', 'nobles', 'past plays a big role', 'polite protagonist', 'politics', 'polygamy', 'pragmatic protagonist', 'religions', 'righteous protagonist', 'romantic subplot', 'royalty', 'schemes and conspiracies', 'stoic characters', 'strategic battles', 'strong love interests', 'technological gap', 'transmigration', 'wars', 'weak protagonist', 'witches']",https://cdn.novelupdates.com/images/2024/08/Release-that-Witch.jpg,2016,TRUE,qidian,webnovel,TRUE,1498 chapters,,c378,505,24963,18,4.5,2961,"[2076, 6990, 2582, 759, 4342, 5280]"
4052,Warlock of the Magus World,"['Vu Giới Thuật Sĩ', 'WMW', 'Wujie Shushi', '巫界术士']",chinese,"['the plagiarist', 'wen chao gong', '文抄公']","['adventure', 'ecchi', 'horror', 'mature', 'xuanhuan']","['academy', 'alchemy', 'apathetic protagonist', 'appearance changes', 'artifacts', 'artificial intelligence', 'beasts', 'biochip', 'bloodlines', 'cheats', 'clever protagonist', 'cold protagonist', 'cruel characters', 'cultivation', 'cunning protagonist', 'dark', 'depictions of cruelty', 'determined protagonist', 'dishonest protagonist', 'dreams', 'evil protagonist', 'evolution', 'fantasy world', 'game elements', 'gate to another world', 'god protagonist', 'gods', 'gore', 'handsome male lead', 'harem-seeking protagonist', 'hidden abilities', 'human experimentation', 'knights', 'magic', 'male protagonist', 'manipulative characters', 'overpowered protagonist', 'past plays a big role', 'polygamy', 'pragmatic protagonist', 'pregnancy', 'proactive protagonist', 'racism', 'reincarnation', 'ruthless protagonist', 'schemes and conspiracies', 'selfish protagonist', 'seven deadly sins', 'souls', 'stoic characters', 'strength-based social hierarchy', 'sword and magic', 'time skip', 'transmigration', 'underestimated protagonist', 'weak to strong', 'world hopping', 'world travel']",https://cdn.novelupdates.com/images/2022/05/Warlock-of-the-Magus-World_1653417756.jpg,2015,TRUE,qidian,wuxiaworld,TRUE,1200 chapters,,c100,534,21947,28,4,3089,"[6780, 10802, 10449, 6949, 11115, 39227]"
14190,Overgeared,"['OG', 'Temppal', '템빨']",korean,['park saenal'],"['action', 'adventure', 'comedy', 'fantasy', 'harem']","['adapted to manhwa', 'appearance changes', 'army', 'artifact crafting', 'artificial intelligence', 'assassins', 'average-looking protagonist', 'beautiful female lead', 'blacksmith', 'character growth', 'crafting', 'demons', 'dense protagonist', 'discrimination', 'dragon slayers', 'dragons', 'dungeons', 'dwarfs', 'elemental magic', 'elves', 'empires', 'evil gods', 'famous protagonist', 'farming', 'first-time interc**rse', 'futuristic setting', 'game ranking system', 'god protagonist', 'goddesses', 'godly powers', 'gods', 'grinding', 'guilds', 'hard-working protagonist', 'immortals', 'inheritance', 'kingdom building', 'kingdoms', 'knights', 'lack of common sense', 'legends', 'level system', 'livestreaming', 'loyal subordinates', 'lucky protagonist', 'magic', 'male protagonist', 'marriage', 'master-disciple relationship', 'master-servant relationship', 'misunderstandings', 'mmorpg', 'modern day', 'money grubber', 'multiple pov', 'mythical beasts', 'nationalism', 'nobles', 'orcs', 'overpowered protagonist', 'pets', 'polygamy', 'poor protagonist', 'poor to rich', 'pregnancy', 'racism', 'romantic subplot', 'schemes and conspiracies', 'seven deadly sins', 'shameless protagonist', 'shapeshifters', 'skill assimilation', 'skill books', 'skill creation', 'souls', 'sword and magic', 'sword wielder', 'time skip', 'underestimated protagonist', 'unlucky protagonist', 'virtual reality', 'weak to strong', 'younger sisters']",https://cdn.novelupdates.com/images/2017/10/og.jpg,2014,TRUE,maya&maru,wuxiaworld,TRUE,2059 chapters,,c20,170.7,19438,43,3.8,1696,"[392, 49140, 18089, 21541, 28699, 16092]"
15,I Shall Seal the Heavens,"['Cennetleri Mühürlemeliyim', 'Demon Sealer', 'ISSTH', 'Ngã Dục Phong Thiên', 'Wo Yu Feng Tian', 'ผนึกสวรรค์ สยบมาร สะท้านเทพ', '我欲封天']",chinese,"['er gen', '耳根']","['action', 'adventure', 'drama', 'xianxia']","['abandoned children', 'adapted to manhua', 'age regression', 'alchemy', 'amnesia', 'appearance changes', 'appearance different from actual age', 'artifacts', 'bloodlines', 'body tempering', 'calm protagonist', 'character growth', 'cultivation', 'cunning protagonist', 'dao comprehension', 'demonic cultivation technique', 'demons', 'determined protagonist', 'devoted love interests', 'fated lovers', 'friendship', 'gods', 'handsome male lead', 'hard-working protagonist', 'heavenly tribulation', 'immortals', 'legends', 'long separations', 'lucky protagonist', 'magic', 'male protagonist', 'marriage', 'master-disciple relationship', 'money grubber', 'monsters', 'multiple realms', 'multiple reincarnated individuals', 'mysterious family background', 'near-death experience', 'past plays a big role', 'pill concocting', 'poor to rich', 'protagonist with multiple bodies', 'race change', 'romantic subplot', 'ruthless protagonist', 'shameless protagonist', 'sharp-tongued characters', 'slow romance', 'time manipulation', 'tragic past', 'trickster', 'underestimated protagonist', 'unrequited love', 'wars', 'weak to strong']",https://cdn.novelupdates.com/images/2015/06/15_ISSTH.jpg,2014,TRUE,qidian,wuxiaworld,TRUE,1613 chapters,,c100,674.4,19831,39,4.4,3172,"[5844, 2689, 181, 631, 195, 5]"
5844,A Will Eternal,"['A Thought Through Eternity', 'Nhất niệm vĩnh hằng', 'Sonsuz Bir Arzu', 'Una Voluntad Eterna', 'Yi Nian Yong Heng', 'หนึ่งความคิดนิจนิรันดร์', '一念永恒']",chinese,"['er gen', '耳根']","['action', 'adventure', 'comedy', 'harem', 'xianxia']","['acting', 'adapted to anime', 'adapted to drama', 'adapted to manhua', 'alchemy', 'arrogant characters', 'artifact crafting', 'artifacts', 'beast companions', 'beautiful female lead', 'body tempering', 'cautious protagonist', 'character growth', 'charming protagonist', 'clever protagonist', 'cowardly protagonist', 'cultivation', 'dao companion', 'dao comprehension', 'enemies become allies', 'enemies become lovers', 'eye powers', 'famous protagonist', 'fast cultivation', 'fast learner', 'friendship', 'handsome male lead', 'hard-working protagonist', 'immortals', 'late romance', 'long separations', 'lucky protagonist', 'magic formations', 'male protagonist', 'misunderstandings', 'money grubber', 'monsters', 'multiple pov', 'narcissistic protagonist', 'pill concocting', 'politics', 'polygamy', 'protagonist with multiple bodies', 'shameless protagonist', 'slow romance', 'sword and magic', 'time travel', 'trickster', 'underestimated protagonist', 'unlucky protagonist', 'wars', 'weak to strong']",https://cdn.novelupdates.com/images/2016/06/betacover.jpg,2016,TRUE,qidian,wuxiaworld,TRUE,1314 chapters,,c20,191.2,16827,66,4.4,2020,"[15, 2689, 181, 1139, 2074, 3967]"
